原文	译文
花大叔，我已经将猎杀鲸鱼的家伙打败了。	Crocus, we've already killed the whale hunters.
干得不错，不过又有一批新的家伙出现了。	Good job, but another group just appeared.
什么！！他们竟然又来了一批人。	What!! Another group?!
在我有生之年，绝对不会允许他们动拉布一根指头，我不会让他们得逞的。	While I'm alive, I won't let them hurt Laboon.
我们会阻止他们的。	We'll help you block them.
干得不错，不过他们的首领还没打败。	You still need to defeat the leader.
还有漏网之鱼吗？	Somebody escaped?
这次带领他们的是一个女子，她是Mr.9的搭档，这两个无赖可是垂涎拉布很久了。	There leader is a girl who's Mr. 9's partner. These two scumbags have been after Laboon for a long time.
他们竟然是一个组合，我们会保护鲸鱼的。	There a duo. We'll protect the whale.
谢谢你们阻止了这两个无赖的阴谋，要是早几十年，我早就收拾他们了。	Thank you for defeating those two scumbags. If I'm younger, I would have got rid of them already.
花大叔，为什么你对拉布如此在意呢？	Why do you care so much about Laboon?
拉布是有故事的，很久以前，有一伙和气的海贼来到了这里，有一只小鲸鱼跟着他们，岛鲸是一种群居生物，但是对于拉布来说，那些海贼就是它的同伴，他们的船出了故障在这边停留了几个月，我也因此和他们成为了好友。	Years ago, Laboon as a baby whale followed a group of pirates to here, and the pirates stopped by the lighthouse in order to repair their ship. As for Laboon, those pirates were his companions. I was there then and became friend with them. 
后来呢？大叔！	Then what happened?
有一天船长拜托我照看拉布，与拉布约定环游伟大航路一周后再来接拉布，拉布也明白这一切和我一直在这等候，但这已经是50年前的事了，我告诉他同伴不会再来了可是拉布不相信，所以它不停地仰天长啸，还用身体去撞红土大陆导致自己伤痕累累。	Out of fear for the whale's safety the pirates told Laboon to stay behind with me, promising they would return someday. The pirates apparently fled the Grand Line later and never came back for Laboon, who continues to wait for them though it has been over fifty years. The reason his head is scarred is that Laboon Believes he can break through the mountain to reach his friends. Despite me already telling Laboon the truth, he still continues to run into the mountain as it is the only hope Laboon has.
原来如此，拉布真的好可怜。	Poor Laboon!
不行，拉布又开始发狂了！	Laboon is going crazy again!
这家伙再发狂下去会出大事的！	If he continues like this, he's going to be in danger!
它头上的伤已经那么恐怖了，要是它继续这样没理性的撞下去一定会死的，我不能见死不救。	He's already seriously injured. If he continues, he's going to die. 
要想办法阻止它。	We have to think of a way to stop him.
我有办法了，就交给我们吧！	I know a way, let me deal with him.
这次我和你没能分出胜负来，所以一定要再打一场，你的同伴死了，但我还是你的对手，等我们绕伟大航路航行一周后，再回来见你！到时候，我们再打一架吧！	This time is a tie, so we need to fight again. When we return from the Grand Line, we'll have a rematch! Wait for me here!
说的好！路飞。	Well said, Luffy!
看来拉布已经稳定下来了，真了不起啊。	It seems Laboon is calmer now.
没想到你们能够让拉布稳定下来不再继续疯狂的行为了。	I didn't expect you guys to be able to calm Laboon down. 
嘿嘿，这都多亏路飞那小子相处的办法。	All thanks to Luffy's way of dealing with friends.
你们即将进入伟大航路，在伟大航路上冒险，没有记录指针可不行，作为报答，我的记录指针给你们。	You'll be entering Grand Line. While adventuring on the Grand Line, you need a log pose. As my gift, I'm giving you my log pose.
再见，花大叔，谢谢你的记录指针。	Good bye, thank you for the log pose.
再见了，不过刚才被你们打败的Miss.星期三好像有事要求助你们。	Good bye. But it seems that Miss Wednesday needs your help.
哦？竟然有事求助？我去瞧瞧。	Needs my help? Let me go see.
听花大叔说你有事情求助我们？说来听听，不过想让我帮你去猎杀拉布那是不可能的。	You need our help? Tell me what you need, but I won't help you kill Laboon.
才没那回事，但是因为我们的船没了，想请你们带我们回到威士忌小镇里。	We lost our ship, so we hope you can take us to Whiskey Peak.
你想的可真美啊，刚才你们还想杀掉那条鲸鱼呢，你们到底是什么人？	You people wanted to kill that whale. Who the heck are you guys anyway?
我们也不想干这种偷偷摸摸的事，可是我们公司的规矩是神秘，所以什么都不能说，我们是相信各位的人格，才请求各位的。	I don't want to do these strange things, but our company's rule is to remain mysterious, so I can't say anything. I Believe you guys so that's why I'm asking you guys.
好吧，那你们上船吧，我们前往威士忌小镇。	Alright, you can get on the ship. We're going to Whiskey Peak.
欢迎……咳咳！玛-玛-玛-玛-玛，我的名字叫伊卡莱姆，是威士忌小镇的镇长。	Welcome…(Cough!)  Mi...mi...mi... My name is Igaram. I'm Whiskey Peak's Mayor.
哇，大叔，你的头发好卷啊。	Sir, your hair is so curly.
海上的勇士，非常感谢你们送Mr.9和薇薇回来，我们小镇可是十分好客的，不过最近小镇来了一群捣乱的海贼，希望你们能够帮忙。	Adventurers of the sea, thank you for sending Mr. 9 and Vivi back. This is a very friendly town, but a group of pirates came recently and caused problem. We hope you can help us.
交给我们，我们会把捣乱的海贼赶走。	Leave it to us, we'll deal with them.
多谢你们的帮忙，我们小镇引以为豪的就是美酒，今晚就以诸位的冒险故事为助兴之肴。	Thank you for your help. Our town is well know for our wine. Tonight we'll listen to your adventures while enjoying the fine wine.
美酒，我可最喜欢喝酒了，哈哈哈哈。	I love wine, hahaha!
请允许我们准备好宴席为诸位接风洗尘并报答赶走捣乱者，不知各位可否赏脸？	Please allow us to invite you to the feast as our thanks for your help, would you be interested?
愿意，非常愿意！。	Of course.
这几个笨蛋，话说回来，这个岛要多久才能储备满记录指针？	You guys who only care about food. So how long does it take to record on the Log Pose?
记录？先别说这些死板的事情了，旅途劳顿，先休息一下吧，来，大家准备宴会，歌唱冒险家之歌，宴会开始！	Log pose? Let's not talk such serious stuff. Let's rest and enjoy the feast first!
听说你们几个海上的勇士救了薇薇和Mr.9还帮镇上赶走了捣乱的海贼，年纪轻轻就如此作为，真了不起啊。	I heard you guys helped Vivi and Mr. 9, and also helped to chase away the pirates. You guys are amazing at such a young age.
嘻嘻，您说的我都不好意思了。	Ha-ha, that was nothing.
这些都是伊卡莱姆为你们准备的，今天尽情喝吧！	These are all prepared by Igaram. Drink up!
那我们就不客气了。	Bottoms up, cheers!
哈哈，能令各位如此高兴，真是太好了，今天真是一个愉快的夜晚。	Such a wonderful night!
我喝的差不多了，先去睡了。	I'm done, I'm going to sleep first.
索隆这家伙可真没用啊，这么快就醉了，我去看看他。	Zoro is useless to get drunk so easily. I'm going to check on him.
你可真没用啊，才喝了那么点就醉了。	You are such a wimpy drinker! Ha-ha.
身为一个剑客，无论何时都不会让自己被酒精控制住的，我只是装醉而已。	As a swordsman, you should never let your body be controlled by alcohol. I'm just pretending.
嗯，你发现了什么吗？	Did you discover anything suspicious?
从遇到Mr.9之后我就觉得这些名字很耳熟，到了村子里，他们实在是太好客了，这非常奇怪，让我记起了巴洛克工作室。	When meeting Mr. 9, his name sounded so familiar to me. After arriving at this town, they act way too hospitable, which is also weird. Both of these things remind me of Baroque Works.
巴洛克工作室？那是什么组织？	Baroque Works? What type of organization is that?
巴洛克工作室就是……不好！Mr.9往我们这边过来了，看来他们发现了什么，我们必须战斗了。	Baroque Works is… Ah! Mr. 9 is coming this way. It seems they are suspicious also, so time for us to battle.
没想到这些好客的村民竟然真是巴洛克工作室的，不过巴洛克工作室到底什么组织？	So these friendly villagers are all part of Baroque Works, but what type of organization is Baroque Works?
巴洛克工作室是一个邪恶的犯罪组织，彼此成员间用代号相称，看来村子里有不少巴洛克工作室的成员啊。	Baroque Works is an evil criminal organization, and all the main agents are given a code name which they address each other by. This village has Baroque Works members.
难怪村子里那么多人都是有代号的，莫非他们全都是巴洛克工作室的成员？	So all these people with code names are Baroque Works members?
看来这个村庄是赏金猎人的巢穴了，他们专占那些洋洋得意刚进入伟大航路海贼的便宜，这个村子大概有100个赏金猎人，今天是个战斗的夜晚了。	This village must be a bounty hunters' den. They capture those pirates who just entered Grand Line. This village probably has over 100 bounty hunters. We'll be fighting the whole night.
干得不错，这些巴洛克的喽啰还真是缠人。	Good job. These Baroque Minions are so annoying.
别松懈，还有不少巴洛克的喽啰往我们这边赶过来了。	Don't relax yet, more Broque Minions are charging toward us.
是吗？那就只能跟他们奉陪到底了。	Then we'll just keep fighting.
有发现什么敌人靠近吗？	Did you discover any enemy coming close?
我看到薇薇往我们这边过来了。	I saw Vivi coming toward us.
别大意，她也不是什么好人，刚才我听别人说她的代号是Miss.星期三。	Be careful, she's a part of them also. I just learn her code name is Miss Wednesday.
没想到她也是巴洛克的成员……	Didn't expect her to be part of Baroque Works…
只要把你们打倒，交给老板我就能将功补过了。	If I can defeat you guys, I can make up for my failure before.
原来你也是巴洛克工作室的。	So you are part of Baroque Works also.
是巴洛克又怎么样，这个镇子已经缺少粮食了，我们去捕捉鲸鱼缓解镇子的粮食危机，可惜被你们发现了。	This village has food shortage. We went to catch the whale to solve the food issue, but you guys stopped us.
只是因为这样就能残害拉布吗？，没粮食可以想其他的办法。	If you have food shortage, you could think of other solutions.
不要再说了！我已经知道你们的底细，你们价值3000万贝利，只要抓住你们就能够解决镇子的粮食问题了。	I know you guys are worth 30,000,000 Beli, If we capture you guys, the issue can be solved.
我们才不会束手就擒。	We won't give up easily.
没想到巴洛克的成员越打越多，这样下去我们可坚持不了多久，我们得想办法尽快离开这。	There are more people charging toward us. We should try to escape as soon as possible.
不好，梅利号被人上锁了，整个船被锁在了港口无法行动。	Going Merry is locked and we cannot move the boat from the harbor.
可恶，我们必须要找到钥匙才行，可有谁会知道钥匙却又会告诉我们呢。	Damn, we need to find the keys. Who would have the keys and be able to tell us?
酒吧老板娘好像不是巴洛克工作室的成员，我们去找她了解下情况吧。	Tavern Owner is not a Baroque Works member. Let's go ask her.
你们不是刚走吗？怎么么这么快就回来了，是不是刚才没有喝够？	Why did you guys come back? Do you want more wine?
镇子所有的人都是巴洛克工作室的成员，我们的船还被锁了。	Most of the people in this village are Baroque Works members, and our ship is locked.
什么！难道他们都是巴洛克的人？我是前些日子刚搬到镇上来的，没想到居然是这样。	What? They are all part of Baroque Work? I just moved here lately, never expected this.
我们的船被锁了，现在想要走却走不了，您知道是谁有钥匙吗？	Our ship is locked. Do you know who would have the key?
钥匙应该是在伊卡莱姆的手中，他毕竟是这个镇的镇长，就算不在他手中他也知道具体在哪。	Probably Igaram, since he's the Mayor. 
必须要找到伊卡莱姆才能得到钥匙了。	Then we have to find Igaram to get the key.
依我看，我们直接杀到伊卡莱姆面前逼他交出钥匙就行了。	Let's just battle to reach Igaram and force him to hand over the key.
我们已经被巴洛克工作室的成员包围了，现在必须要突破出去才行。	We're surrounded by Baroque Works members. We have to breakthrough.
干得不错，现在我们已经成功突围出来了。	Good job, we've managed to breakthrough already.
但是我们好像惊动了修女，现在那个修女已经往我们这边来了。	We seem to have alerted that nun over there and she's charging toward us.
我听说过这家伙，这家伙应该就是巴洛克工作室的Miss.星期一了，她浑身肌肉发达，是一个十足的男人婆	I heard of her before. She's Baroque Works' Miss Monday. She's full of muscles and a tomboy.
噗~这个修女竟然是男人婆，哈哈，我去会一会他。	A nun is a tomboy? Hahaha! I'm going to battle her just to see.
干得漂亮，现在就差伊卡莱姆了，只要打败他逼他交出锁的钥匙就行了。	Great! Now we only need to defeat Igaram to get the key.
拿了钥匙我们就能解开梅利号的锁了。	With the key, we can unlock the Going Merry.
快点行动吧，不能让那家伙跑了。	Let's go now.
伊卡莱姆竟然设计埋伏我们，不能轻饶了他。	Igaram set us up , how dare him! We must teach him a lesson!
那是当然，我要好好教训一下这个可恶的家伙。	Of course, we'll kick his ass really bad for sure.
不过要小心他的卷发，听说里面暗藏了不少机关。	But be careful of his curly hair, he hides weapons in it.
原来如此，怪不得他的头发那么有型呢！	So that's why he has such unique hairstyle.
你们几个竟然能够突出重围来到我的面前，真了不起啊，不过没有钥匙开不了船是不是很难受呢？	You guys are quite amazing for making it this far. But without a key to unlock the ship is really bad, right?
废话少说，快交出钥匙，如果不交我们就打得你交出来。	Stop with the nonsense and hand over the key now, or else!
看来你们几个不清楚巴洛克工作室的实力啊，就让你们见识下什么才是真正的实力！。	It seems you guys don't truly know how powerful we are.
收拾妥当了，吁，夜晚终于变得平静美好了。	We're done, and the night is finally peaceful again.
天快亮了，我们该离开这了。	The sun is almost up, let's leave here.
为什么有种奇怪的感觉，是我神经过敏了吗？	I have strange feeling. Am I too sensitive?
不管那么多啦，我们还是先去问出钥匙的下落要紧。	Let's get the key and don't worry about anything else.
快交出钥匙，不然我可对你不客气了。	Hand over the key, or else die here.
我怎么能死在这里……我还肩负着重要的使命！决不能在这边倒下。	How can I die here? I have an important mission to accomplish.
你在说什么呢？我们要的是钥匙。	What are you talking about? We just want the key.
我的真实身份是阿拉巴斯坦的护卫长，薇薇是公主，巴洛克工作室的Mr.5和Miss.情人节已经来到了镇上，我们的身份一定露馅了。	I'm the Captain of the Royal Guards at Alabasta Kingdom, Vivi is the Princess. Baroque Works' Mr. 5 and Miss Valentine came to the village because they discovered our identity.
见识到你们的实力之后，我有个请求！那两个人都是有特殊能力的人，我拦不住他们，因此，请你们带着公主离开这里，钥匙我等会拿给你们，求你们了，而且带着公主到达王国，就能获得巨额奖赏。	I have a request. Please protect the Princess to leave here safely. I'll give you guys the key. I beg you. When you reach our Kingdom, you'll also get major reward for bringing the Princess to the Kingdom.
你这话我感兴趣，10亿贝利如何，一个王国的命运才10亿可是很便宜的。	I'm interested. How about 1,000,000,000 Beli? A kingdom's future for 1,000,000,000 Beli is not expansive.
……我只是一个小兵，怎么敢答应这么高的数额，如果你们将公主护送回王国，再找公主商量吧。	…I'm just a guard, I can't make a deal with you like this. Please escort Princess back to the Kingdom and she'll decide.
也就是说，叫我们先救公主了，好的，我们答应你。	So we shall rescue the Princess first. Okay, we'll help you.
我为袭击你们的事情感到抱歉，这是梅利号的钥匙，交给你们吧。	I'm sorry for sneak attacking you guys. This is the Going Merry's key, here you are.
这到底是怎么一回事？	What's happening?
公主和我发现了巴洛克工作室的秘密，所以我们逃出了王国，潜伏在了这个小镇上，可恶，如果我变得更强就能够保护好公主了，如果公主有个三长两短，王国可就完蛋了啊。	The Princess and I discovered Baroque Works' secrets, so we escaped from the Kingdom and hid within this town to find more info. Damn, if I was more powerful I could at least protect the Princess. 
放心吧，我们会保护好公主的，就娜美那个性可舍弃不了这巨额奖金。	Don't worry, we'll protect the Princess. Nami will not give up on the reward.
混蛋，你说什么呢！快去战斗！	What the heck are you talking about?! Go fight!
这是一间秘密犯罪的公司，没有一个职员知道老板的长相和性命，主要做间谍、暗杀、盗窃和赏金猎人，全体人员依老板的指令行事。	This is a secret crime organization and no one knows the Boss' name or appearance. Our main duty is to spy, assassinate, steal and bounty hunting. All members just follow the Boss' order.
连老板的身份都不知道，大家为什么还那么听他的话？	Without knowing the Boss' identity, why are you guys willing to listen to him?
巴洛克工作室的最终目的是建立一个理想国，老板答应大家，现在在公司立过功的人将来在他创立的理想国中就可以身居要职。	Baroque Works' ultimate goal is to create an utopia. The Boss says all the important members of the company will receive prominent position within the utopia country he will establish.
原来如此。	So that's why.
老板的代号就是Mr.0，代号越接近0就代表越强大，代号5以内的人都特别厉害，这次来的就是Mr.5，不多说了，我来殿后，你快带着薇薇公主逃跑！	The Boss' code is Mr. 0, the closer your code is to 0, the more powerful you are. The person who is charging toward us is Mr. 5. I'll block him, you guys help Princess Vivi escape! Go!
什么！敌人那么强大怎么能让你一个人殿后呢？	What?! How can you block him by yourself?
公主的安危才是最重要的，快去！带着公主走，公主是王国最后的希望了，绝对不能出事。	The Princess' safety is the most important thing. Go Now! Help the Princess! She's our Kingdom's last hope, nothing can happen to her.
什么！伊卡莱姆竟然独自去面对Mr.5和Miss.情人节了？	What! Igaram is facing Mr. 5 and Miss Valentine by himself?
卷发大叔十分担心你，不想你出事，让我先带着你藏起来。	He's worried about you and wants me to help you hide first.
你的身手那么厉害，Mr.武士道先生更是鼎鼎有名的赏金猎人，求求你们救救伊卡莱姆！	You are so good, and Zoro is a famous bounty hunter. I beg you guys to rescue Igaram!
看来也只能答应你了……放心吧，你藏好，我会去援助卷发大叔的！	It seems I have to agree…Don't worry and hide yourself. I'll go help Igaram!
Miss.情人节就在前面，伊卡莱姆要坚持不住了！	Miss Valentine is in front and Igaram seems to be losing!
既然答应了你，就不会袖手旁观的，那个家伙有什么能力？	Since I agreed to help already, I'll try my best. What's her ability?
Miss.情人节是Mr.5的搭档，她是轻重果实的能力者，可以随意控制自己的体重。	Miss Valentine is Mr. 5's partner. She's Kilo-Kilo Fruit user and can randomly control her own weight.
还有这么神奇的能力，不过我们不会输的，交给我们吧。	That's strange. But don't worry, we'll win.
谢谢你们击败了Miss.情人节，现在只剩下Mr.5了。	Thank you for defeating Miss Valentine, now there's Mr. 5.
那家伙有什么特点，竟然能排在5？	What's his specialty?
Mr.5是爆爆果实能力者，可以领一切东西爆炸，连扔出的鼻屎吹出的空气也能爆炸，	Mr. 5 is Bomb-Bomb Fruit user, and can make everything explode. He likes to throw his boogers out and they explode in air.
扔出的鼻屎也能爆炸？！这家伙是怪物吗？	The boogers he throws can also explode??! Is this guy a monster?
请求你们打败Mr.5，伊卡莱姆坚持不了那么久，会被杀死的。	Please defeat Mr. 5, Igaram will not be able to win and he'll be killed.
交给我吧，我们会保证所有人的安全。	Leave it to us, we'll make sure everyone is safe.
请你们听好了，只要你们的消息传到巴洛克工作室的信息网中，马上就会有追兵出现，加上Mr.5和Miss.情人节也败在你们的手中，事态就更加严重了。	Please listen carefully, as soon as your info is added to the Baroque Works' information network, there will be more people coming after you guys. With you guys defeating both Mr. 5 and Miss Valentine, the situation is quite serious.
另外巴洛克工作室的老大鳄鱼是七武海，过去的悬赏金是8000万贝利。不过护送公主返回阿拉巴斯坦的事情……	In addition, the head of Baroque Works is Crocodile who is a Shichibukai. His bounty is 80,000,000 Beli. About escorting Princess to Alabasta Kingdom…
把薇薇送回阿拉巴斯坦的事就交给我们吧，我们答应过就不会后悔！	We'll be responsible to send Vivi back to Alabasta Kingdom. We have a deal and we'll do it.
谢谢你们了，现在开始我假扮公主，去引开巴洛克工作室的追兵，这是记录阿拉巴斯坦的永久指针，你们从另外一条路前往阿拉巴斯坦，希望我们能够平安无事的在王国会面，那么公主就拜托你们了。	Thank you. I'll pretend to be the Princess and attract the Baroque Works' minions. This Eternal Pose records Alabasta Kingdom's location. You can take another route to Alabasta Kingdom. Hope we can all safely arrive at the Kingdom.
没想到这大叔到最后这么有趣、重情重义啊。	He is funny and loyal.
是啊，所以我一直都很信任他。	So I've always trusted him.
我们出发吧，别辜负了大叔的一番好意。	Let's go now.
这边就是我们进入伟大航路后的第二个岛了！	This is the second island we reach after entering the Grand Line!
……要小心，我有种不详的感觉。	…be careful, I have bad feelings about this…
这就是小花园……可是怎么看都不像是拥有这么可爱名字的土地啊！什么东西都好大，哪里小了。	This is the Little Garden…everything here is gigantic, why does it have such a cute name?
啊！你们看，那边来了一只巨大的野兽，小心啊！	Look! A giant monster is over there! Be careful!
别怕，我去解决这些怪兽。	Don't be afraid, I'll kill them.
干得不错，没有你们可真不知道怎么办了。	Great job. 
这里的感觉还像是恐龙时代。	It seems we're still in dinosaur age at this island.
伟大航路上的岛屿，由于航海十分困难，岛与岛之间没有任何交流，所以每个岛都有自己独特的文化，所以这个岛还处于恐龙时代，就是这样。	Due to sailing difficulty, the islands on the Grand Line do not interact with each other and each island is unique. This island is still in the age of dinosaurs.
等一下……我记得好像在哪本书上读到过小花园，就是前几天读过的，我去找找。	Wait…I read about Little Garden a few days ago in a book, let me go find it.
有发现吗？娜美！	Nami, did you discover anything?
不是这本。不是这本。是哪本呢？全忘掉了，明明就看过啊。	Which one is it? Damn, I forgot everything even though I just read it.
啊！又来了一只怪兽，大家小心！	Another monster! Be careful!
真是麻烦不断啊。	This is troublesome.
啊，这个岛上有座火山，还有几个巨大的洞穴，真想在这里吃便当啊。	There is a volcano plus many huge caves on this island. I think this is a good location to eat our bento.
小心，这边的生物都这么巨大，引来了生物被吃掉就不好了。	What if the bento attracts more giant monsters?!
先别说这些了，那边有好几个大洞穴呢。	Let's not worry about that. Look at those huge caves.
不好了！！！有巨人过来了了，妈呀妈呀，快跑吧！	Bad news! There is a giant coming toward us. Ah…let's run!
嘎哈哈哈哈哈哈哈，好久没有人来到这里了，你们好有活力，是我久违的客人，欢迎来到小花园，我请你们去我家做客吧。	Gegyagyagyagya! We haven't had visitors for a long time. Welcome to Little Garden. I invite you to come to my home.
唔，这个巨人好像是这边的人，我们去打探一下。	This giant might know something. Let's go ask him.
巨人大叔，你就一个人住在这里吗？这没有村庄吗？	Can you tell us about this island?
村庄是有的，是个名叫埃鲁巴夫的战士之村，但是村里有个规矩，一旦发生了纠纷，就要与对方决斗，正确的人会在战神的保护下胜利并活下来，但是经过了100年，我们还是没有分出胜负。	I've been living on this island for more than 100 years. According to our Elbaf tradition, when there is a dispute, you find another island to battle until there is result, as the gods will protect the one who is righteous and let him live. But after more than 100 years, there is still no results.
什么！你们已经打了100年了？	What?! You guys have been fighting for over 100 years?
不要那么大惊小怪，我们的寿命是你们的3倍，话说回来，我这缺少肉来招待你们，你们能去找点肉来吗？	Don't be so surprised. Our lifetime is 3 times longer than yours. I would like to treat you guys but I have no meat. Can you go find some?
包在我身上就行了。	Don't worry, I'll bring back the meat.
哈哈哈，你们找来肉了吗？我已经准备好火堆了，就等肉来了。	Did you get some meat? I finish setting up the fire pit and waiting for the meat.
大叔，你看我们打的肉，这些够吗？	Is this enough meat?
这些肉可只够我们巨人族塞牙缝，我们要巨型的肉才够吃。	We need giant meat chunks.
那好吧，我再去附近转转有没有更大的猎物。	Alright, I'll try to go find bigger monsters.
不错不错，这下肉够吃了，等我烤一会就能请你们吃肉了。	This is enough. Please wait while I barbeque meat for you guys.
哈哈哈，那我们就再等一会儿。	Okay, we'll wait.
吃吧，烤好了，我可最喜欢这个口味。	I'm done. Eat up!
这个好鲜美啊，巨人大叔的厨艺真赞。	This is great. Your cooking skill is awesome.
不过有肉没酒可不行，该去哪里找些酒来呢？	But we need some wine to go along with the meat. Where can we find wine?
我们的船上有，不过船上的酒是薇薇放的，得去问薇薇才能知道具体在哪。	We have some wine on our ship. But I need to ask Vivi where she stores them.
薇薇，你知道船上的酒放在哪里吗？	Vivi, do you know where the wine bottles are stored on the ship?
酒就放在船舱的储藏室内，不过现在回去路上可能会出现很多野兽。	They are within the storage room. But we might encounter lots of wild animals on our way to the ship.
别怕，我们一起回去，我会保护你的。	Don't be afraid. I'll protect you.
路上可真是危险重重啊，终于来到船前面了。	Finally we reached the ship. 
快动手吧，我去把酒搬来。	Let's move fast and get the wine.
有了这些酒，巨人大叔一定会很高兴吧。	With these wine, the Giant will be happy.
恩，我们这就上船吧。	Let's go to the ship.
不好！有一只丛林之王挡住了通往船的道路，必须击败丛林之王才能到达船上。	Bad news! A King of the Jungle is blocking our way to the ship. We have to defeat the King of the Jungle to reach the ship.
丛林之王就交给我对付，你去把船上的酒取来。	I'll deal with the King of the Jungle, you can go get the wine from the ship.
恩，那你可要小心了。	Yes, please be careful.
历经千辛万苦，总算拿到酒了。	Finally we got the wine.
现在就把酒拿去给巨人大叔吧。	Let's bring the wine to the giant.
恩，东利大叔一定等不及了呢。	He's probably waiting anxiously.
哈哈，你们几个把酒带来了，今天可要好好喝个痛快。	You guys brought wine. Then we drink merrily today.
说起来，船上的粮食可不多了，索隆，我们来一次狩猎比赛。	We have a shortage of food on the ship. Zoro, let's have a hunting competition.
求之不得！这个狩猎比萨就以狩猎到多少吨的肉来定胜负。	Great! The winner of this hunting game must be able to hunt the most meat.
哈哈哈哈，你们几个小子可真有活力，我就来当一回见证者。	Ha-ha, sounds fun. Then I'll be the witness of this competition.
真拿着2个家伙没办法……	Sigh, you two are really…
唔，你们狩猎回来的猎物还真不好说谁的比较大，就当一次平手吧。	It seems you guys all got about the same amount. This is considered as a tie.
切~竟然是平手。	What?! Just a tie.
哈哈哈，来，我们一起喝酒！（酒发出了嘭的爆炸声）	Hahaha, let's keep drinking! (The wine exploded) 
酒……爆炸了！！！怎么回事？这酒为什么会爆炸？这不是我们船上的酒吗？	The wine exploded!!! What happened? Aren't the wine bottles from our ship?
是在肚子里爆炸的，太残忍了！难道是和他作对的那个巨人？	The wine exploded in his stomach, so savage! Could the other giant have done this?
你把他们看成什么了？他们可是厮杀了100年的对手，怎么可能干出这么卑鄙的事情？	They've been fighting for over 100 years and would never do such despicable things.
咳咳……那究竟是谁……难道是你们？布洛基和我是充满荣誉感的埃鲁巴夫战士，不会干出这种事，除了你们，我还能怀疑谁？	Cough…then who did it? Brogy and I are Elbaf warriors and would not do such things. Other than you guys, who else can I suspect?
先逃吧，现在说什么都没用，多利先生已经陷入疯狂了。	Let's escape first. Dorry is going crazy…
我现在很生气，虽说有些对不住大叔，但我得先让他安静一下。	I know what I'm doing is not good, but I need to find a way to calm him down first.
咳咳……看来我小看了你们。（噗一声东利倒在了地上）	Cough…it seems I wrongly estimated you people.(Dorry fells on the ground) 
{#}，你没事吗？	{#}, you okay?
我没事，大叔呢？	I'm okay, is Dorry okay?
东利先生应该没事！多亏了这样一击重拳，否则他还安静不下来。	Dorry should be okay! Thanks to your heavy blow, or else he won't calm down.
我现在非常生气！大叔说得对，在这酒里做手脚的不是另外一个巨人！我的同伴也绝对不会做出这么无耻的行为，也就是说在这个岛上，应该还有其他人，我一定会把他们找出来的。	I'm very angry now! Dorry was right that the other giant would not do anything to the wine! None of my companions would have done such things, which means someone else on this island did it. I will find that person for sure.
可恶，找不到半点线索。	Damn, could not find any clue.
别着急，我们再仔细找找一定会有发现的。	Don't worry, we'll look at the details and for sure will discover something.
（火山爆发了，决战的时刻到了）不好！，火山又开始爆发了，东利大叔要与另外一个巨人决斗了。	(The volcano exploded and time for the duel) Bad news! Time for Dorry to go duel with the other giant
必须阻止这一切，东利大叔现在的状态去决斗会被杀死的！	We have to stop it. If Dorry goes to the duel now in this status, he'll be killed!
（东利一点点强撑着站起来）大叔，不能去决斗，要是硬撑着去决斗你会死的！	(Dorry struggles to stand up) Please don't go! If you go now, you'll die!
我可是战士东利！至少……咳咳，让我无损与埃鲁巴夫之名地去战斗吧！！这场战斗已经停不下来了！从已经开始的战斗中逃脱，就等于从战士的名字下逃脱！	I'm warrior Dorry! Cough…let me battle without hurting the Elbaf name!! This battle cannot be stopped! If I escape from a battle that already started, then I escape from the name of warrior!
停下吧，大叔，你会死的！	Stop, or else you'll die!
让开！即使死我也要在战斗中死去。	Go away! Even if I die, I'll die in battle.
对不起……我刚才怀疑你们……那是个误会，我相信你们，不过这场决斗是战神埃鲁巴夫做出的审判，他没有庇护我，仅此而已。	Sorry…I was suspicious of you guys earlier…that was a misunderstanding. I Believe you guys, but this battle is decided by the god of Elbaf and he did not protect me, that's all.
战神也好，庇护也好，这些东西和你有什么关系！难道战神叫你去死你就去死吗？！	If the god tells you to die, you'll die too?!
闭嘴，只活了10年20年的你们怎么可能会理解埃鲁巴夫的伟大箴言呢！	Quiet, you guys who lived for only 10 or 20 years, how can you understand the greatness of god of Elbaf?!
不行，一定要想办法阻止。	I have to stop them.
决战的时候到了，东利呢？	It's time for the duel, where is Dorry?
我是来阻止这场决战的，这根本就是不公平的决战！	I'm here to stop this duel, this duel is not fair!
小鬼，你一点也不懂这场决战对于我们的意义。！	You don't understand the meaning of this duel for us!
小鬼，不用你多管闲事，这是我和布洛基之间的决斗。	Don't butt in, this duel is between Brogy and I.
（东利和布洛基进行决战，东利因为受伤处处被压制）怎么了？东利，今天你很不干脆！！	(Dorry and Brogy are fighting. Dorry is weak because of his injuries) What's wrong? Dorry, you are indecisive today!!
没有……我和平时一样！	No…I'm the same as always!
（突然东利的脚被控制了，被布洛基一斧砍倒在地）第73467战，73466平，一胜，哈哈哈哈，哼哈哈哈哈！	(Suddenly Dorry's foot is trapped, and cut down to the ground by Brogy) The 73467 round, 73466 tie, one win, gababababababa!
得了胜利，高兴得哭了啊？单细胞生物还真快乐，算了~总之，先对你说一声辛苦了。	You cry of happiness, just for one victory? Simple-minded organisms live so happily. Anyway, I want to say you did a good job.
